"   ","RB090_DATE_OUT-RB090_DATE_IN","RB090_ETAG_ID","RB090_LOT_NO","RB090_COMPONENT","RB090_SIZE","RB090_DATE_IN","RB090_IN_QTY","RB090_DATE_OUT","RB090_OUT_QTY","RB090_TICKET_ID","RB090_STOCK_NO","RB090_PROD_LINE","RB090_SLIP_NO"
"33","15.9613194444444","30001EC0122006120937487471104110","N0F44","PH","11","2020/6/12 9:57:02","12","2020/6/28 9:01:20","12","T001572822","PH","LF 02A",""
"34","15.9613194444444","30001D0E122006120937487471104110","N0F44","PH","11","2020/6/12 9:57:02","12","2020/6/28 9:01:20","12","T001572822","PH","LF 02A",""
"35","15.9613194444444","30002156122006120937487471104110","N0F44","PH","11","2020/6/12 9:57:02","12","2020/6/28 9:01:20","12","T001572822","PH","LF 02A",""
"36","15.9613194444444","30001D91122006120937487471104110","N0F44","PH","11","2020/6/12 9:57:02","12","2020/6/28 9:01:20","12","T001572822","PH","LF 02A",""
"37","15.9613194444444","30001E63122006120937487471104115","N0F44","PH","11.5","2020/6/12 9:57:02","12","2020/6/28 9:01:20","12","T001572823","PH","LF 02A",""
"38","15.9613194444444","30002070122006120937487471104115","N0F44","PH","11.5","2020/6/12 9:57:02","12","2020/6/28 9:01:20","12","T001572823","PH","LF 02A",""
"39","15.9754976851852","30002331122006120937487471104120","N0F44","PH","12","2020/6/12 9:57:02","12","2020/6/28 9:21:45","12","T001572824","PH","LF 02A",""
"40","15.9754976851852","300022ED122006120937487471104120","N0F44","PH","12","2020/6/12 9:57:02","12","2020/6/28 9:21:45","12","T001572824","PH","LF 02A",""
"41","15.9754976851852","30001D4D122006120937487471104120","N0F44","PH","12","2020/6/12 9:57:02","12","2020/6/28 9:21:45","12","T001572824","PH","LF 02A",""
"42","15.9754976851852","30002773122006120937487471104120","N0F44","PH","12","2020/6/12 9:57:02","12","2020/6/28 9:21:45","12","T001572824","PH","LF 02A",""
"43","15.9754976851852","300020CC122006120937487471104120","N0F44","PH","12","2020/6/12 9:57:02","12","2020/6/28 9:21:45","12","T001572824","PH","LF 02A",""
"44","14.2768287037037","3000299C122006121016487471104090","N0G03","PH","09","2020/6/12 10:21:00","12","2020/6/26 16:59:38","12","T001572818","PH","LF 02A",""
"45","14.2768287037037","30002463122006121016487471104090","N0G03","PH","09","2020/6/12 10:21:00","12","2020/6/26 16:59:38","12","T001572818","PH","LF 02A",""
"46","14.2748032407407","30001812122006121016487471104090","N0G03","PH","09","2020/6/12 10:21:00","12","2020/6/26 16:56:43","12","T001572818","PH","LF 02A",""
"47","15.4245601851852","30001C41122006121016487471104100","N0F44","PH","10","2020/6/12 10:21:00","12","2020/6/27 20:32:22","12","T001572820","PH","LF 02A",""
"48","15.4241898148148","300025D2122006121016487471104100","N0F44","PH","10","2020/6/12 10:21:00","12","2020/6/27 20:31:50","12","T001572820","PH","LF 02A",""
"49","15.4245601851852","300026CD122006121016487471104100","N0F44","PH","10","2020/6/12 10:21:00","12","2020/6/27 20:32:22","12","T001572820","PH","LF 02A",""
"50","13.9471990740741","300017F4122006121028414571040095","N0G07","PH","09.5","2020/6/12 10:32:32","12","2020/6/26 9:16:30","12","T001572811","PH","LF ML2",""
"51","13.9471990740741","30001CB3122006121028414571040095","N0G07","PH","09.5","2020/6/12 10:32:32","12","2020/6/26 9:16:30","12","T001572811","PH","LF ML2",""
"52","13.9471990740741","30002654122006121028414571040095","N0G07","PH","09.5","2020/6/12 10:32:32","12","2020/6/26 9:16:30","12","T001572811","PH","LF ML2",""
"53","13.9471990740741","30001D48122006121028414571040095","N0G07","PH","09.5","2020/6/12 10:32:32","12","2020/6/26 9:16:30","12","T001572811","PH","LF ML2",""
"54","13.9471990740741","30001C3C122006121028414571040130","N0G07","PH","13","2020/6/12 10:32:32","12","2020/6/26 9:16:30","12","T001572836","PH","LF ML2",""
"55","13.9471990740741","30001C45122006121028414571040130","N0G07","PH","13","2020/6/12 10:32:32","12","2020/6/26 9:16:30","12","T001572836","PH","LF ML2",""
"56","11.0918171296296","30002433062006121032487471104080","N0G03","PH","08","2020/6/12 10:36:56","6","2020/6/23 12:49:09","6","T001572847","PH","LF 02A",""
"57","12.3998726851852","30001DB1062006121032487471104085","N0F44","PH","08.5","2020/6/12 10:36:56","6","2020/6/24 20:12:45","6","T001572848","PH","LF 02A",""
"58","14.1744097222222","30002754062006121032487471104095","N0G03","PH","09.5","2020/6/12 10:36:56","6","2020/6/26 14:48:05","6","T001572789","PH","LF 02A",""
"59","14.1744097222222","30002771062006121032487471104100","N0F44","PH","10","2020/6/12 10:36:56","6","2020/6/26 14:48:05","6","T001572850","PH","LF 02A",""
"60","15.9477893518518","300024DD062006121032487471104105","N0F44","PH","10.5","2020/6/12 10:36:56","6","2020/6/28 9:21:45","6","T001572790","PH","LF 02A",""
"61","15.9477893518518","300023C7062006121032487471104115","N0F44","PH","11.5","2020/6/12 10:36:56","6","2020/6/28 9:21:45","6","T001572838","PH","LF 02A",""
"62","15.9484143518518","3000213B062006121033487471104130","N0F44","PH","13","2020/6/12 10:36:56","6","2020/6/28 9:22:39","6","T001572840","PH","LF 02A",""
"63","15.1303587962963","50000AC9122006121043414571040080","N0G07","PH","08","2020/6/12 10:47:36","12","2020/6/27 13:55:19","12","T001572814","PH","LF ML2",""
"64","15.1303587962963","50001115122006121043414571040080","N0G07","PH","08","2020/6/12 10:47:36","12","2020/6/27 13:55:19","12","T001572814","PH","LF ML2",""
"65","15.1303587962963","50001126122006121043414571040080","N0G07","PH","08","2020/6/12 10:47:36","12","2020/6/27 13:55:19","12","T001572814","PH","LF ML2",""
"66","15.3804282407407","500013B6122006121122414571040105","N0G07","PH","10.5","2020/6/12 11:26:11","12","2020/6/27 20:34:00","12","T001572858","PH","LF ML2",""
"67","15.3804282407407","5000140A062006121122414571040105","N0G07","PH","10.5","2020/6/12 11:26:11","6","2020/6/27 20:34:00","6","T001572858","PH","LF ML2",""
"68","7.32590277777778","50000D35122006121122414571040130","N0G07","PH","13","2020/6/12 11:26:11","12","2020/6/19 19:15:29","12","T001572853","PH","LF ML2",""
"69","6.24923611111111","50000412122006121127487471104105","N0F44","PH","10.5","2020/6/12 11:32:03","12","2020/6/18 17:30:57","12","T001572790","PH","LF 02A",""
"70","6.24923611111111","50000656122006121127487471104105","N0F44","PH","10.5","2020/6/12 11:32:03","12","2020/6/18 17:30:57","12","T001572790","PH","LF 02A",""
"71","6.24923611111111","50001400122006121127487471104105","N0F44","PH","10.5","2020/6/12 11:32:03","12","2020/6/18 17:30:57","12","T001572790","PH","LF 02A",""
"72","12.0468287037037","500012F0122006121127414571040130","N0G07","PH","13","2020/6/12 11:32:03","12","2020/6/24 12:39:29","12","T001572853","PH","LF ML2",""
"73","12.0468287037037","500004E5122006121127414571040130","N0G07","PH","13","2020/6/12 11:32:03","12","2020/6/24 12:39:29","12","T001572853","PH","LF ML2",""
"74","12.0468287037037","5000145B122006121127414571040130","N0G07","PH","13","2020/6/12 11:32:03","12","2020/6/24 12:39:29","12","T001572853","PH","LF ML2",""
"75","36.6072222222222","5000099C122003281043C05707100085","N0E19","PH","08.5","2020/3/28 10:44:43","12","2020/5/4 1:19:07","12","T001468069","PH","LF 01A",""
"76","6.04125","50000D02122003281043C05707100090","N0E19","PH","09","2020/3/28 10:44:43","12","2020/4/3 11:44:07","12","T001468070","PH","LF 01A",""
"77","11.1119907407407","50000690122003281043C05707100095","N0E19","PH","09.5","2020/3/28 10:44:43","12","2020/4/8 13:25:59","12","T001468034","PH","LF 01A",""
"78","6.04125","50000C43122003281043C05707100095","N0E19","PH","09.5","2020/3/28 10:44:43","12","2020/4/3 11:44:07","12","T001468034","PH","LF 01A",""
"79","6.04125","500005D3122003281043C05707100100","N0E19","PH","10","2020/3/28 10:44:43","12","2020/4/3 11:44:07","12","T001468042","PH","LF 01A",""
"80","6.04125","5000080F122003281043C05707100105","N0E19","PH","10.5","2020/3/28 10:44:43","12","2020/4/3 11:44:07","12","T001468032","PH","LF 01A",""
"81","6.04125","30002219122003281043C05707100110","N0E19","PH","11","2020/3/28 10:44:43","12","2020/4/3 11:44:07","12","T001468031","PH","LF 01A",""
"82","6.01350694444444","50000D3E122003281124C05707100095","N0E19","PH","09.5","2020/3/28 11:24:40","12","2020/4/3 11:44:07","12","T001468034","PH","LF 01A",""
"83","5.99423611111111","500002F6122003281150C05707100070","N0E19","PH","07","2020/3/28 11:52:25","12","2020/4/3 11:44:07","12","T001468066","PH","LF 01A",""
"84","5.99423611111111","50000ADF122003281150C05707100075","N0E19","PH","07.5","2020/3/28 11:52:25","12","2020/4/3 11:44:07","12","T001468067","PH","LF 01A",""
"85","5.99423611111111","500002C7122003281150C05707100080","N0E19","PH","08","2020/3/28 11:52:25","12","2020/4/3 11:44:07","12","T001468068","PH","LF 01A",""
"86","5.99423611111111","50001407122003281151C05707100090","N0E19","PH","09","2020/3/28 11:52:25","12","2020/4/3 11:44:07","12","T001468070","PH","LF 01A",""
"87","5.99423611111111","500009E9122003281151C05707100095","N0E19","PH","09.5","2020/3/28 11:52:25","12","2020/4/3 11:44:07","12","T001468034","PH","LF 01A",""
"88","5.99423611111111","500009F9122003281151C05707100100","N0E19","PH","10","2020/3/28 11:52:25","12","2020/4/3 11:44:07","12","T001468042","PH","LF 01A",""
