,RB090_COMPONENT,RB090_DATE_OUT-RB090_DATE_IN
36552,OUTSOLE,340.9544444
36697,OUTSOLE,340.945
36556,OUTSOLE,340.9394444
36659,OUTSOLE,340.9041667
36679,OUTSOLE,340.8975
36681,OUTSOLE,340.8975
36559,OUTSOLE,340.8905556
36560,OUTSOLE,340.8905556
36682,OUTSOLE,340.8722222
36693,OUTSOLE,340.8719444
36558,OUTSOLE,340.8711111
36713,OUTSOLE,340.8438889
36714,OUTSOLE,340.8438889
36663,OUTSOLE,340.8144444
36662,OUTSOLE,340.8030556
36684,OUTSOLE,340.8022222
36661,OUTSOLE,340.7961111
36664,OUTSOLE,340.7961111
36725,OUTSOLE,340.7952778
36683,OUTSOLE,340.7922222
36719,OUTSOLE,340.7833333
36686,OUTSOLE,340.7688889
36718,OUTSOLE,340.7688889
36726,OUTSOLE,340.6997222
38291,OUTSOLE,340.6922222
36717,OUTSOLE,340.65
36721,OUTSOLE,340.6327778
35623,OUTSOLE,340.6155556
36720,OUTSOLE,340.6133333
36727,OUTSOLE,340.5963889
22690,OUTSOLE,340.2213889
40343,OUTSOLE,340.2125
40345,OUTSOLE,340.1352778
40342,OUTSOLE,340.0033333
36501,OUTSOLE,339.9808333
31352,OUTSOLE,339.8433333
8530,OUTSOLE,339.5688889
33890,OUTSOLE,339.4261111
19130,OUTSOLE,338.8738889
8646,OUTSOLE,338.8030556
34705,OUTSOLE,338.6258333
23693,OUTSOLE,338.4719444
23415,OUTSOLE,338.3325
19315,OUTSOLE,337.6719444
22917,OUTSOLE,337.6511111
31515,OUTSOLE,337.6316667
34854,OUTSOLE,336.9844444
34853,OUTSOLE,336.9802778
34855,OUTSOLE,336.9802778
24244,OUTSOLE,336.9269444
24245,OUTSOLE,336.9269444
24427,OUTSOLE,336.3502778
37851,OUTSOLE,336.1563889
31055,OUTSOLE,335.1097222
37852,OUTSOLE,334.755
37860,OUTSOLE,334.7133333
37854,OUTSOLE,334.5344444
38052,OUTSOLE,334.1316667
38053,OUTSOLE,334.1061111
3822,OUTSOLE,333.8741667
3824,OUTSOLE,333.8341667
3831,OUTSOLE,333.8261111
3836,OUTSOLE,333.6752778
36668,OUTSOLE,333.5663889
3835,OUTSOLE,333.5166667
3834,OUTSOLE,333.3583333
38039,OUTSOLE,332.9272222
30708,OUTSOLE,332.7658333
38051,OUTSOLE,332.7519444
38065,OUTSOLE,332.5963889
38078,OUTSOLE,332.2305556
36722,OUTSOLE,331.6452778
42638,OUTSOLE,331.2722222
25669,OUTSOLE,331.0327778
36676,OUTSOLE,330.9944444
36525,OUTSOLE,330.795
36685,OUTSOLE,330.4408333
36694,OUTSOLE,330.4133333
36695,OUTSOLE,330.4133333
42708,OUTSOLE,330.3805556
19165,OUTSOLE,330.0677778
7975,OUTSOLE,329.48
19187,OUTSOLE,329.4422222
32532,OUTSOLE,329.3655556
27019,OUTSOLE,329.31
30390,OUTSOLE,328.8136111
25371,OUTSOLE,327.8069444
33166,OUTSOLE,327.3033333
43153,OUTSOLE,326.8547222
43265,OUTSOLE,326.1905556
10866,OUTSOLE,325.5319444
39473,OUTSOLE,325.0513889
23214,OUTSOLE,324.2480556
38044,OUTSOLE,324.0116667
5248,OUTSOLE,323.5947222
25424,OUTSOLE,323.5608333
20344,OUTSOLE,323.5283333
38096,OUTSOLE,323.2738889
38097,OUTSOLE,323.2738889
20624,OUTSOLE,322.9391667
20627,OUTSOLE,322.9391667
27830,OUTSOLE,321.9675
37871,OUTSOLE,321.1619444
35323,OUTSOLE,321.1513889
5547,OUTSOLE,321.1388889
31287,OUTSOLE,321.0727778
31364,OUTSOLE,320.8388889
11582,OUTSOLE,320.8088889
11590,OUTSOLE,320.7941667
23581,OUTSOLE,320.4972222
10867,OUTSOLE,319.9758333
35398,OUTSOLE,319.8
31440,OUTSOLE,319.6997222
23026,OUTSOLE,319.1666667
30970,OUTSOLE,318.9533333
35446,OUTSOLE,318.8388889
20062,OUTSOLE,318.5658333
36674,OUTSOLE,318.3294444
36675,OUTSOLE,318.3294444
20081,OUTSOLE,318.2452778
8411,OUTSOLE,318.0436111
8412,OUTSOLE,318.0308333
